Region,Asset Type, Site Name , Owner , Technology Type , Fuel Type , DUID ,Number of Units,Lower Nameplate Capacity (MW),Upper Nameplate Capacity (MW),Aggregated Lower Nameplate Capacity (MW),Aggregated Upper Nameplate Capacity (MW),Nameplate Capacity (MW),Storage Capacity (MWh),Unit Status,Dispatch Type,Full Commercial Use Date,Expected Closure Year,Closure Date,Status Bucket Summary,Fuel Bucket Summary,SurveyId, AEMO KCI Id , Survey Last Requested , Survey Version DateTime 
 QLD1 ,Project,Abermain BESS,FIrm Power P/L, Storage - Battery ,Other - Other,,1, 168.00 , 168.00 , 168.00 , 168.00 , 168.00 ,250.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2489,Q00086,Feb 2025,18-03-2025
 SA1 ,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation, Storage - Battery ,Other - Other,ADPBA1,1,, 7.76 ,, 7.76 , 7.76 ,12.60, In Service ,S,May 2022,2041,,Existing less Announced Withdrawal, Battery Storage ,1844,,Feb 2025,28-02-2025
 SA1 ,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation, Solar PV - Fixed ,Solar - Solar,ADPPV1,4,, 2.75 ,, 11.00 , 11.00 ,, In Service ,SS,May 2022,2041,,Existing less Announced Withdrawal, Solar ,1844,,Feb 2025,28-02-2025
 SA1 ,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation, Solar PV - Fixed ,Solar - Solar,ADPPV2,5,, 2.75 ,, 13.75 , 13.75 ,, In Service ,NS,Jul 2022,2041,,Existing less Announced Withdrawal, Solar ,1844,,Feb 2025,28-02-2025
 SA1 ,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation, Solar PV - Fixed ,Solar - Solar,ADPPV3,1, 0.02 , 0.02 , 0.02 , 0.02 , 0.02 ,, In Service ,NS,Dec 2022,2050,,Existing less Announced Withdrawal, Solar ,1844,,Feb 2025,28-02-2025
 SA1 ,Existing Plant,Adelaide Desalination Plant,South Australian Water Corporation, Hydro - Run of River ,Hydro - Water,ADVMH1,1, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 ,, In Service ,NS,Nov 2022,2050,,Existing less Announced Withdrawal, Water ,1844,,Feb 2025,28-02-2025
 VIC1 ,Project,Alberton Wind Farm,Synergy Wind Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,34, 3.60 , 3.60 , 122.40 , 122.40 , 122.40 ,, Publicly Announced ,SS,,,,Proposed, Wind ,1547,,May 2025,
 QLD1 ,Project,Aldoga BESS Stage 1,Acciona Energy Australia Global, Storage - Battery ,Other - Other,,1, 200.00 , 400.00 , 200.00 , 400.00 , 200.00 - 400.00 ,400.00, Anticipated ,S,Dec 2027,2049,,Anticipated, Battery Storage ,2591,Q00118,May 2025,18-03-2025
 QLD1 ,Project,Aldoga Solar Farm,Acciona Energy Australia Global Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,ALDGASF1,157, 2.47 , 2.47 , 387.01 , 387.01 , 387.01 ,, Anticipated ,SS,Nov 2025,2051,,Anticipated, Solar ,1509,Q00036,May 2025,17-03-2025
 QLD1 ,Project,Alligator Creek BESS,Alligator Creek BESS Pty Ltd, Storage - Battery ,Other - Other,,1, 120.00 , 120.00 , 120.00 , 120.00 , 120.00 ,0.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,3069,Q00239,,
 VIC1 ,Project,Altona BESS,Ausnet Transmission Group Pty Ltd, Storage - Battery ,Other - Other,,1,, 100.00 ,, 100.00 , 100.00 ,200.00, Publicly Announced ,S,Oct 2027,,,Proposed, Battery Storage ,2435,V00085,May 2025,14-03-2025
 SA1 ,Existing Plant,Angaston,Snowy Hydro Ltd, Reciprocating Engine - Compression ignition ,Fossil - Diesel,ANGAST1,1,, 15.40 ,, 15.40 , 15.40 ,, In Service ,S,,2070,,Existing less Announced Withdrawal, Other ,1002,,Feb 2025,14-03-2025
 SA1 ,Existing Plant,Angaston,Snowy Hydro Ltd, Reciprocating Engine - Compression ignition ,Fossil - Diesel,ANGAST1,1,, 30.80 ,, 30.80 , 30.80 ,, In Service ,S,,2070,,Existing less Announced Withdrawal, Other ,1002,,Feb 2025,14-03-2025
 NSW1 ,Existing Plant,Appin,EDL CSM NSW Pty Ltd, Reciprocating Engine - Spark ignition ,Fossil - Waste Coal Mine Gas,APPIN,54,, 1.03 ,, 55.62 , 55.62 ,, In Service ,NS,,2036,,Existing less Announced Withdrawal, Gas other ,1003,,Oct 2024,09-10-2024
 NSW1 ,Project,Apsley BESS Project, ACENergy Pty Ltd , Storage - Battery ,Other - Other,,1, 120.00 , 120.00 , 120.00 , 120.00 , 120.00 ,260.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2200,N00063,Feb 2025,14-03-2025
 NSW1 ,Project,Aquila Wind,ACEN Australia Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,1, -   , 200.00 , -   , 200.00 , 200.00 ,, Publicly Announced ,SS,,,,Proposed, Wind ,1957,N00038,Feb 2025,18-03-2025
 QLD1 ,Project,Aramara Solar Farm,Aramara Solar Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,1,, 101.40 ,, 101.40 , 101.40 ,, Anticipated ,SS,Jun 2028,2054,,Anticipated, Solar ,1426,,May 2025,17-03-2025
 VIC1 ,Existing Plant,Ararat Wind Farm,Ararat Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,ARWF1,75,, 3.20 ,, 240.00 , 240.00 ,, In Service ,SS,,2047,,Existing less Announced Withdrawal, Wind ,1462,,Feb 2025,12-03-2025
 QLD1 ,Project,Ardandra Solar Farm And BESS,Ardandra SF Pty Ltd as trustee for Ardandra SF Trust, Storage - Battery ,Solar - Solar,,22,, 3.41 ,, 75.02 , 75.02 ,150.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,1855,,May 2025,14-03-2025
 QLD1 ,Project,Ardandra Solar Farm And BESS,Ardandra SF Pty Ltd as trustee for Ardandra SF Trust, Solar PV - Single axis tracking ,Solar - Solar,,28,, 3.46 ,, 96.99 , 96.99 ,, Publicly Announced ,SS,,,,Proposed, Solar ,1855,,May 2025,14-03-2025
 NSW1 ,Project,Argoon Wind Farm (RES Group) - KCI,RES Australia Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,85, 7.20 , 7.20 , 612.00 , 612.00 , 612.00 ,, Publicly Announced ,SS,,2060,,Proposed, Wind ,2840,,,04-10-2024
 NSW1 ,Project,Argyle Solar Farm,Argyle Solar Farm Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,1,, 59.80 ,, 59.80 , 59.80 ,, Publicly Announced ,SS,,,,Proposed, Solar ,1947,,May 2025,18-03-2025
 NSW1 ,Project,Armidale BESS,Armidale BESS Project Pty Ltd, Storage - Battery ,Other - Other,,1,, 150.00 ,, 150.00 , 150.00 ,300.00, Publicly Announced ,S,May 2026,2046,,Proposed, Battery Storage ,2512,N00182,May 2025,13-03-2024
 NSW1 ,Project,Armidale BESS (Elgin),Elgin EnergyP/L, Storage - Battery ,Other - Other,,1, 200.00 , 200.00 , 200.00 , 200.00 , 200.00 ,0.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,3075,N00026,,
 NSW1 ,Project,Armidale East BESS,FRV, Storage - Battery ,Other - Other,,107, 4.20 , 4.20 , 449.40 , 449.40 , 449.40 ,1712.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,3017,,May 2025,
 NSW1 ,Project,Arundel BESS,Eku Energy Projects (Australia) Trust, Storage - Battery ,Other - Other,,1,, 300.00 ,, 300.00 , 300.00 ,1200.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2824,N00197,,19-03-2025
 SA1 ,Project,Augusta BESS,Augusta BESS Pty Ltd, Storage - Battery ,Other - Other,,1,, 270.00 ,, 270.00 , 270.00 ,540.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2744,,,21-03-2025
 SA1 ,Project,Aurora Solar Energy Project - Phase 1,SiliconAurora, Storage - Battery ,Other - Other,,1, 140.00 , 140.00 , 140.00 , 140.00 , 140.00 ,140.00, Publicly Announced ,S,,2052,,Proposed, Battery Storage ,1390,,Feb 2025,23-03-2023
 SA1 ,Project,Australia Plains Solar Farm,Gree, Solar PV - Single axis tracking ,Solar - Solar,,1, -   , 200.00 , -   , 200.00 , 200.00 ,, Publicly Announced ,SS,,,,Proposed, Solar ,1952,S00015,Feb 2025,18-03-2025
 NSW1 ,Existing Plant,Avonlie Solar Farm,Iberdrola Australia Limited, Solar PV - Single axis tracking ,Solar - Solar,AVLSF1,70, -   , 3.63 , -   , 254.10 , 254.10 ,, In Service ,SS,Nov 2023,2058,,Existing less Announced Withdrawal, Solar ,1715,,Feb 2025,18-03-2025
 NSW1 ,Project,Awaba BESS,firmpower_NR, Storage - Battery ,Other - Other,,1, 67.20 , 67.20 , 67.20 , 67.20 , 67.20 ,100.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2974,,,18-03-2025
 VIC1 ,Project,Axedale Solar Farm,UPC Renewables Australia, Storage - Battery ,Other - Other,,1,, 50.00 ,, 50.00 , 50.00 ,100.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,1958,V00025,Feb 2025,18-03-2025
 VIC1 ,Project,Axedale Solar Farm,UPC Renewables Australia, Solar PV - Single axis tracking ,Solar - Solar,,1, -   , 140.00 , -   , 140.00 , 140.00 ,, Publicly Announced ,SS,,,,Proposed, Solar ,1958,V00025,Feb 2025,18-03-2025
 VIC1 ,Existing Plant,Bairnsdale,Alinta DEBO, Turbine - OCGT ,Fossil - Natural Gas Pipeline,BDL01,1,, 47.00 ,, 47.00 , 47.00 ,, In Service ,S,,2042,,Existing less Announced Withdrawal, OCGT ,1005,,Feb 2025,11-03-2025
 VIC1 ,Existing Plant,Bairnsdale,Alinta DEBO, Turbine - OCGT ,Fossil - Natural Gas Pipeline,BDL02,1,, 47.00 ,, 47.00 , 47.00 ,, In Service ,S,,2042,,Existing less Announced Withdrawal, OCGT ,1005,,Feb 2025,11-03-2025
 VIC1 ,Project,Bairnsdale BESS,Bison Energy, Storage - Battery ,Other - Other,,1,, 65.00 ,, 65.00 , 65.00 ,260.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2263,,Feb 2025,13-03-2025
 QLD1 ,Project,Baking Board Battery Storage - KCI, Solar Projects Australia Pty Ltd, Storage - Battery ,Solar - Solar,,1, 400.00 , 400.00 , 400.00 , 400.00 , 400.00 ,0.00, Publicly Announced ,TBA,,,,Proposed, Battery Storage ,2278,Q00018,Sep 2023,
 QLD1 ,Project,Baking Board BESS (MMT),MMT Projects T/A Renewable Projects Management, Storage - Battery ,Other - Other,,1, 300.00 , 300.00 , 300.00 , 300.00 , 300.00 ,0.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2679,Q00144,,
 QLD1 ,Project,Baking Board Solar Farm - KCI, Solar Projects Australia Pty Ltd, Solar PV - Fixed ,Solar - Solar,,1, 250.00 , 250.00 , 250.00 , 250.00 , 250.00 ,, Publicly Announced ,TBA,,,,Proposed, Solar ,2277,Q00018,Sep 2023,
 QLD1 ,Project,Baking Board Solar Farm (MMT),MMT Projects T/A Renewable Projects Management, Solar PV - Fixed ,Solar - Solar,,1, 300.00 , 300.00 , 300.00 , 300.00 , 300.00 ,, Publicly Announced ,SS,,,,Proposed, Solar ,2678,Q00144,,
 QLD1 ,Existing Plant,Baking Board Solar Farm Chinchilla,Chinchilla Solar Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,BAKING1,1, 14.70 , 14.70 , 14.70 , 14.70 , 14.70 ,, In Service ,NS,Sep 2018,2044,,Existing less Announced Withdrawal, Solar ,1642,,Oct 2024,24-09-2024
 VIC1 ,Existing Plant,Bald Hills Wind Farm,Bald Hills Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,BALDHWF1,52,, 2.05 ,, 106.60 , 106.60 ,, In Service ,SS,,2040,,Existing less Announced Withdrawal, Wind ,1006,,Feb 2025,10-03-2025
 NSW1 ,Project,Baldon Wind Farm,Baldon Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,45, 8.00 , 8.00 , 360.00 , 360.00 , 360.00 ,, Publicly Announced ,SS,,,,Proposed, Wind ,2213,N00082,May 2025,04-03-2024
 NSW1 ,Project,Baldon Wind Farm Stage 2,Baldon Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,130, 8.00 , 8.00 ," 1,040.00 "," 1,040.00 "," 1,040.00 ",, Publicly Announced ,SS,,,,Proposed, Wind ,2595,N00138,May 2025,04-03-2024
 NSW1 ,Project,Baldon Wind Farm Stage 2 - BESS,Baldon Wind Farm Pty Ltd, Storage - Battery ,Other - Other,,125, 4.00 , 4.00 , 500.00 , 500.00 , 500.00 ,1000.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2596,N00138,May 2025,04-03-2024
 VIC1 ,Existing Plant,Ballarat Base Hospital Plant,Ballarat Health Services, Reciprocating Engine - Compression ignition ,Fossil - Diesel,BBASEHOS,2, 0.80 , 0.80 , 1.60 , 1.60 , 1.60 ,, In Service ,NS,,2033,,Existing less Announced Withdrawal, Other ,1007,,Oct 2024,18-10-2024
 VIC1 ,Existing Plant,Ballarat Energy Storage System,Ausnet Transmission Group Pty Ltd, Storage - Battery ,Other - Other,BALB1,1,, 30.00 ,, 30.00 , 30.00 ,30.00, In Service ,S,,2033,,Existing less Announced Withdrawal, Battery Storage ,1469,,Feb 2025,11-03-2025
 QLD1 ,Project,Banana Range Wind Farm,Orange Creek Energy Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,38, -   , 6.00 , -   , 228.00 , 228.00 ,, Publicly Announced ,SS,Dec 2026,2058,,Proposed, Wind ,1986,Q00041,May 2025,12-03-2025
 QLD1 ,Project,Banana Range Wind Farm,Orange Creek Energy Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,54, -   , 6.80 , -   , 367.20 , 367.20 ,, Publicly Announced ,SS,Dec 2026,2059,,Proposed, Wind ,1986,Q00041,May 2025,12-03-2025
 NSW1 ,Existing Plant,Bango 973 Wind Farm,BWF Nominees Pty Ltd as trustee for the BWF Trust, Wind Turbine - Onshore ,Wind - Wind,BANGOWF1,30, 5.30 , 5.30 , 159.00 , 159.00 , 159.00 ,, In Service ,SS,Sep 2022,2045,,Existing less Announced Withdrawal, Wind ,1282,,Feb 2025,07-03-2025
 NSW1 ,Existing Plant,Bango 999 Wind Farm,BWF Nominees Pty Ltd as trustee for the BWF Trust, Wind Turbine - Onshore ,Wind - Wind,BANGOWF2,16, -   , 5.30 , -   , 84.80 , 84.80 ,, In Service ,SS,Sep 2022,2045,,Existing less Announced Withdrawal, Wind ,1843,N00019,Feb 2025,14-03-2025
 VIC1 ,Existing Plant,Banimboola,AGL Hydro Partnership, Hydro - Dam ,Hydro - Water,BAPS,1, -   , 2.20 , -   , 2.20 , 2.20 ,, In Service ,NS,,2057,,Existing less Announced Withdrawal, Water ,1008,,Oct 2024,11-03-2025
 VIC1 ,Existing Plant,Banimboola,AGL Hydro Partnership, Hydro - Dam ,Hydro - Water,BAPS,1, -   , 10.00 , -   , 10.00 , 10.00 ,, In Service ,NS,,2057,,Existing less Announced Withdrawal, Water ,1008,,Oct 2024,11-03-2025
 QLD1 ,Project,Banksia Solar Farm,Venn Energy Pty / Banksia Solar Project Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,16,, 4.40 ,, 70.40 , 70.40 ,, Anticipated ,SS,Jan 2028,2058,,Anticipated, Solar ,2578,,May 2025,19-03-2025
 NSW1 ,Project,Bannaby BESS,Penso Power Australia Pty Ltd., Storage - Battery ,Other - Other,,1, 700.00 , 700.00 , 700.00 , 700.00 , 700.00 ,0.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2636,N00144,,
 VIC1 ,Existing Plant,Bannerton Solar Park,Foresight Solar Australia Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,BANN1,40,, 2.50 ,, 100.00 , 100.00 ,, In Service ,SS,Jun 2019,2049,,Existing less Announced Withdrawal, Solar ,1492,,Feb 2025,10-03-2025
 VIC1 ,Project,Baranduda Electrical Energy Reserve, Birdwood Energy Reserve Pty Ltd (ACN 658 507 441) as Trustee for Birdwood Energy Reserve Trust, Storage - Battery ,Other - Other,BEER01,124, 4.39 , 4.39 , 544.36 , 544.36 , 544.36 ,1800.00, Publicly Announced ,S,Jun 2027,,,Proposed, Battery Storage ,2326,V00083,Feb 2025,15-03-2025
 QLD1 ,Existing Plant,Barcaldine Power Station,Ergon Energy Queensland Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline,BARCALDN,1,, 37.00 ,, 37.00 , 37.00 ,, In Service ,S,,2034,,Existing less Announced Withdrawal, OCGT ,1010,,Feb 2025,12-03-2025
 QLD1 ,Existing Plant,Barcaldine Remote Community Solar Farm,Barcaldine Remote Community Solar Farm Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,BARCSF1,1, 20.00 , 20.00 , 20.00 , 20.00 , 20.00 ,, In Service ,NS,,2049,,Existing less Announced Withdrawal, Solar ,1389,,Oct 2024,19-09-2024
 SA1 ,Existing Plant,Barker Inlet Power Station,AGL Barker Inlet Pty Ltd, Reciprocating Engine - Spark ignition ,Fossil - Natural Gas Pipeline,BARKIPS1,12,, 17.50 ,, 210.00 , 210.00 ,, In Service ,S,Jan 2020,2044,,Existing less Announced Withdrawal, Gas other ,1463,,Feb 2025,20-03-2025
 SA1 ,Project,Barker Inlet Power Station 2,AGL Energy Limited, Turbine - OCGT ,Fossil - Natural Gas Pipeline,,1, 280.00 , 280.00 , 280.00 , 280.00 , 280.00 ,, Publicly Announced ,S,,,,Proposed, OCGT ,2905,S00077,,17-03-2025
 SA1 ,Project,Barn Hill,Barn HIll Wind Farm Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,62, 2.00 , 3.00 , 124.00 , 186.00 , 124.00 - 186.00 ,, Publicly Announced ,SS,,,,Proposed, Wind ,1011,,Feb 2025,11-03-2025
 SA1 ,Project,Barn Hill BESS,AGL Energy Limited, Storage - Battery ,Other - Other,,1, 270.00 , 270.00 , 270.00 , 270.00 , 270.00 ,1080.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2907,S00073,May 2025,
 VIC1 ,Project,Barnawartha Solar & Energy Storage,Barnawartha Solar Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,22,, 2.91 ,, 64.02 , 64.02 ,, Publicly Announced ,SS,,,,Proposed, Solar ,2897,,May 2025,28-03-2025
 VIC1 ,Project,Barnawartha Solar & Energy Storage,Barnawartha Solar Pty Ltd, Storage - Battery ,Solar - Solar,,22,, 2.91 ,, 64.02 , 64.02 ,6.31, Publicly Announced ,S,,,,Proposed, Battery Storage ,2897,,May 2025,28-03-2025
 SA1 ,Project,Baroota Pumped Hydro Project,ACEN Renewables, Hydro - Dam ,Hydro - Water,,2, 125.00 , 125.00 , 250.00 , 250.00 , 250.00 ,0.00, Publicly Announced ,S,Dec 2025,2072,,Proposed, Water ,1682,,Feb 2025,25-03-2025
 QLD1 ,Existing Plant,Barron Gorge,CleanCo Queensland Limited, Hydro - Run of River ,Hydro - Water,BARRON-1,1,, 35.00 ,, 35.00 , 35.00 ,, In Service ,S,,2063,,Existing less Announced Withdrawal, Water ,1012,,Feb 2025,19-05-2025
 QLD1 ,Existing Plant,Barron Gorge,CleanCo Queensland Limited, Hydro - Run of River ,Hydro - Water,BARRON-2,1,, 35.00 ,, 35.00 , 35.00 ,, In Service ,S,,2063,,Existing less Announced Withdrawal, Water ,1012,,Feb 2025,19-05-2025
 NSW1 ,Project,Barwon Solar Farm & BESS,Elgin Energy Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,1,, 250.00 ,, 250.00 , 250.00 ,, Publicly Announced ,SS,,,,Proposed, Solar ,2467,V00172,May 2025,13-12-2024
 NSW1 ,Project,Barwon Solar Farm & BESS,Elgin Energy Pty Ltd, Storage - Battery ,Other - Other,,1,, 250.00 ,, 250.00 , 250.00 ,500.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2467,V00172,May 2025,13-12-2024
 TAS1 ,Project,Bashan 1 Wind Farm,Goldwind Australia, Wind Turbine - Onshore ,Wind - Wind,,59, 7.80 , 7.80 , 460.20 , 460.20 , 460.20 ,, Publicly Announced ,SS,,,,Proposed, Wind ,2470,T00028,Feb 2025,09-10-2023
 TAS1 ,Project,Bass Offshore Wind Energy Project, Nexsphere Pty Ltd, Wind Turbine - Offshore ,Wind - Wind,,1, 500.00 , 500.00 , 500.00 , 500.00 , 500.00 ,, Publicly Announced ,TBA,,,,Proposed, Wind ,2231,T00010,Sep 2023,
 TAS1 ,Existing Plant,Bastyan,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water,BASTYAN,1,, 79.90 ,, 79.90 , 79.90 ,, In Service ,S,,2100,,Existing less Announced Withdrawal, Water ,1013,,Feb 2025,21-03-2025
 TAS1 ,Project,Battery of the Nation - Stage 2b,Hydro Tasmania, Storage - Pumped hydro ,Hydro - Water,,4,, 187.50 ,, 750.00 , 750.00 ,12000.00, Publicly Announced ,S,,,,Proposed, Water ,1480,,Feb 2025,27-09-2024
 TAS1 ,Project,Battery of the Nation - Stage 3b,Hydro Tasmania, Storage - Pumped hydro ,Hydro - Water,,4,, 187.50 ,, 750.00 , 750.00 ,12000.00, Publicly Announced ,S,,,,Proposed, Water ,1482,,Feb 2025,27-09-2024
 NSW1 ,Existing Plant,Bayswater,AGL Macquarie Pty Limited, Turbine - Steam Sub Critical ,Fossil - Black Coal,BW01,1, -   , 660.00 , -   , 660.00 , 660.00 ,, In Service ,S,,2033,,Existing less Announced Withdrawal, Coal ,1014,,Feb 2025,11-03-2025
 NSW1 ,Existing Plant,Bayswater,AGL Macquarie Pty Limited, Turbine - Steam Sub Critical ,Fossil - Black Coal,BW02,1, -   , 685.00 , -   , 685.00 , 685.00 ,, In Service ,S,,2033,,Existing less Announced Withdrawal, Coal ,1014,,Feb 2025,11-03-2025
 NSW1 ,Existing Plant,Bayswater,AGL Macquarie Pty Limited, Turbine - Steam Sub Critical ,Fossil - Black Coal,BW03,1, -   , 685.00 , -   , 685.00 , 685.00 ,, In Service ,S,,2033,,Existing less Announced Withdrawal, Coal ,1014,,Feb 2025,11-03-2025
 NSW1 ,Existing Plant,Bayswater,AGL Macquarie Pty Limited, Turbine - Steam Sub Critical ,Fossil - Black Coal,BW04,1, -   , 685.00 , -   , 685.00 , 685.00 ,, In Service ,S,,2033,,Existing less Announced Withdrawal, Coal ,1014,,Feb 2025,11-03-2025
 QLD1 ,Project,Beebo Battary - KCI,BEEBO SOLAR FARM PTY LTD as Trustee For BEEBO SOLAR FARM UNIT TRUST, Storage - Battery ,Other - Other,,154, 3.80 , 3.80 , 585.20 , 585.20 , 585.20 ,800.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2727,Q00148,May 2025,
 QLD1 ,Project,Beebo Solar Farm - KCI,BEEBO SOLAR FARM PTY LTD as Trustee For BEEBO SOLAR FARM UNIT TRUST, Solar PV - Fixed ,Solar - Solar,,120, 4.40 , 4.40 , 528.00 , 528.00 , 528.00 ,, Publicly Announced ,SS,,,,Proposed, Solar ,2726,Q00148,May 2025,
 QLD1 ,Project,Beelbee Solar Farm,Darling Downs Solar Farm Pty Ltd, Solar PV - Single axis tracking ,Solar - Solar,,1, 200.00 , 200.00 , 200.00 , 200.00 , 200.00 ,, Publicly Announced ,SS,,,,Proposed, Solar ,1550,,Feb 2025,11-03-2025
 NSW1 ,Project,Belhaven Renewable Project,Vena Energy Services (Australia) Pty Ltd, Storage - Battery ,Other - Other,,1, 408.00 , 408.00 , 408.00 , 408.00 , 408.00 ,816.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2210,N00078,Feb 2025,12-12-2023
 NSW1 ,Project,Belhaven Renewable Project,Vena Energy Services (Australia) Pty Ltd, Solar PV - Fixed ,Solar - Solar,,49, 3.39 , 3.39 , 166.11 , 166.11 , 166.11 ,, Publicly Announced ,SS,,,,Proposed, Solar ,2210,N00078,Feb 2025,12-12-2023
 TAS1 ,Project,Bell Bay BESS,Equis Energy (Australia) Projects (Ngumi 6) Pty Ltd as trustee for the Equis Energy(Australia) Ngumi 6 Asset Trust, Storage - Battery ,Other - Other,,1, 100.00 , 100.00 , 100.00 , 100.00 , 100.00 ,200.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,3018,,May 2025,
 TAS1 ,Existing Plant,Bell Bay Three,AETV Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline,BBTHREE1,1,, 40.00 ,, 40.00 , 40.00 ,, In Service ,S,,2040,,Existing less Announced Withdrawal, OCGT ,1015,,Feb 2025,21-03-2025
 TAS1 ,Existing Plant,Bell Bay Three,AETV Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline,BBTHREE2,1,, 40.00 ,, 40.00 , 40.00 ,, In Service ,S,,2040,,Existing less Announced Withdrawal, OCGT ,1015,,Feb 2025,21-03-2025
 TAS1 ,Existing Plant,Bell Bay Three,AETV Pty Ltd, Turbine - OCGT ,Fossil - Natural Gas Pipeline,BBTHREE3,1,, 40.00 ,, 40.00 , 40.00 ,, In Service ,S,,2040,,Existing less Announced Withdrawal, OCGT ,1015,,Feb 2025,21-03-2025
 NSW1 ,Project,Bellambi Heights Renewables Project,Vena Energy, Storage - Battery ,Other - Other,,1,, 408.00 ,, 408.00 , 408.00 ,816.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,1580,N00163,Feb 2025,18-03-2025
 TAS1 ,Project,Bellbay Wind Farm (Low Heads Wind Farm Stage 2),The Trustee for Equis Wind (Australia) LHWF2 Asset Trust, Wind Turbine - Onshore ,Wind - Wind,,28, 8.00 , 8.00 , 224.00 , 224.00 , 224.00 ,, Publicly Announced ,SS,Sep 2029,,,Proposed, Wind ,2408,T00024,Feb 2025,14-03-2025
 NSW1 ,Project,Ben Bullen BESS,Tetris Energy, Storage - Battery ,Other - Other,,1,, 200.00 ,, 200.00 , 200.00 ,800.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2511,,Feb 2025,13-03-2025
 NSW1 ,Project,Bendemeer Renewable Energy Hub - Solar - KCI,Athena Energy Australia (Holdings) Pty Ltd, Solar PV - Fixed ,Solar - Solar,,1, 218.00 , 218.00 , 218.00 , 218.00 , 218.00 ,, Publicly Announced ,TBA,,,,Proposed, Solar ,2372,N00100,Sep 2023,
 NSW1 ,Project,Bendemeer Renewable Energy Hub - Storage - KCI,Athena Energy Australia (Holdings) Pty Ltd, Storage - Battery ,Other - Other,,1, 100.00 , 100.00 , 100.00 , 100.00 , 100.00 ,0.00, Publicly Announced ,TBA,,,,Proposed, Battery Storage ,2374,N00100,Sep 2023,
 NSW1 ,Project,Bendemeer Renewable Energy Hub - Wind - KCI,Athena Energy Australia (Holdings) Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,1, 380.00 , 380.00 , 380.00 , 380.00 , 380.00 ,, Publicly Announced ,TBA,,,,Proposed, Wind ,2373,N00100,Sep 2023,
 VIC1 ,Project,Bennetts Creek BESS,Bennetts Creek Energy Project Pty Ltd in its capacity as Trustee for the Bennetts Creek Energy Project Trust, Storage - Battery ,Other - Other,,1, 100.00 , 100.00 , 100.00 , 100.00 , 100.00 ,223.00, Anticipated ,S,Jul 2027,2047,,Anticipated, Battery Storage ,1956,V00045,May 2025,22-09-2023
 NSW1 ,Project,Beresfield BESS,firmpower_NR, Storage - Battery ,Other - Other,,1, 225.60 , 225.60 , 225.60 , 225.60 , 225.60 ,340.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2973,,,18-03-2025
