Region,Asset Type, Site Name , Owner , Technology Type , Fuel Type , DUID ,Number of Units,Lower Nameplate Capacity (MW),Upper Nameplate Capacity (MW),Aggregated Lower Nameplate Capacity (MW),Aggregated Upper Nameplate Capacity (MW),Nameplate Capacity (MW),Storage Capacity (MWh),Unit Status,Dispatch Type,Full Commercial Use Date,Expected Closure Year,Closure Date,Status Bucket Summary,Fuel Bucket Summary,SurveyId, AEMO KCI Id , Survey Last Requested , Survey Version DateTime 
 VIC1 ,Existing Plant,Golden Plains Wind Farm East,Golden Plains WF1 Pty Ltd as trustee for the Golden Plains WF1 Unit Trust, Wind Turbine - Onshore ,Wind - Wind,GPWFEST2,42, 6.20 , 6.20 , 260.40 , 260.40 , 260.40 ,, In Commissioning ,SS,Dec 2025,2055,,Existing less Announced Withdrawal, Wind ,1487,V00061,May 2025,07-03-2025
 VIC1 ,Existing Plant,Golden Plains Wind Farm East,Golden Plains WF1 Pty Ltd as trustee for the Golden Plains WF1 Unit Trust, Wind Turbine - Onshore ,Wind - Wind,GPWFEST3,40, 6.20 , 6.20 , 248.00 , 248.00 , 248.00 ,, In Commissioning ,SS,Dec 2025,2055,,Existing less Announced Withdrawal, Wind ,1487,V00061,May 2025,07-03-2025
 VIC1 ,Project,Golden Plains Wind Farm West,Golden Plains WF2 Unit Trust, Wind Turbine - Onshore ,Wind - Wind,,93, 5.99 , 5.99 , 557.07 , 557.07 , 557.07 ,, Committed ,SS,Feb 2027,2057,,Committed, Wind ,1990,V00004,May 2025,07-03-2025
 QLD1 ,Project,GoodNight Hybrid Facility - Solar And BESS,GoodNight One Pty Ltd, Solar PV - Fixed ,Solar - Solar,,1, 200.00 , 200.00 , 200.00 , 200.00 , 200.00 ,, Publicly Announced ,SS,,,,Proposed, Solar ,3066,Q00235,,
 QLD1 ,Project,GoodNight Hybrid Facility - Solar And BESS,GoodNight One Pty Ltd, Storage - Battery ,Solar - Solar,,1, 200.00 , 200.00 , 200.00 , 200.00 , 200.00 ,0.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,3066,Q00235,,
 QLD1 ,Project,Goombi Renewable Energy Hub,Tag Energy Australia Pty Ltd, Wind Turbine - Onshore ,Wind - Wind,,1, 657.00 , 657.00 , 657.00 , 657.00 , 657.00 ,, Publicly Announced ,SS,,,,Proposed, Wind ,3063,Q00227,,
 NSW1 ,Existing Plant,Goonumbla Solar Farm,Goonumbla Asset Co Pty Ltd as trustee for the Goonumbla Asset Trust, Solar PV - Single axis tracking ,Solar - Solar,GOONSF1,31,, 2.25 ,, 69.75 , 69.75 ,, In Service ,SS,Nov 2021,2050,,Existing less Announced Withdrawal, Solar ,1400,,Feb 2025,27-03-2025
 VIC1 ,Project,Goorambat BESS (Lighthouse),Lightsource Development Services Australia, Storage - Battery ,Other - Other,,1, 800.00 , 800.00 , 800.00 , 800.00 , 800.00 ,0.00, Publicly Announced ,S,,,,Proposed, Battery Storage ,2570,V00074,May 2025,
 VIC1 ,Project,Goorambat East Solar Farm (ENGIE),Engie, Solar PV - Single axis tracking ,Solar - Solar,,1, 250.00 , 250.00 , 250.00 , 250.00 , 250.00 ,, Committed ,SS,Oct 2026,2061,,Committed, Solar ,2793,,May 2025,25-03-2025
 TAS1 ,Existing Plant,Gordon,Hydro-Electric Corporation, Hydro - Dam ,Hydro - Water,GORDON,3, 144.00 , 144.00 , 432.00 , 432.00 , 432.00 ,, In Service ,S,,2100,,Existing less Announced Withdrawal, Water ,1081,,Feb 2025,21-03-2025
